LC08_L1TP_196028_20180525_20180605_01_T1
LC08_L1TP_195028_20180619_20180703_01_T1
LC08_L1TP_196028_20180626_20180704_01_T1
LC08_L1TP_196028_20190613_20190619_01_T1
LC08_L1TP_196028_20190629_20190706_01_T1
LC08_L1TP_195028_20190724_20190801_01_T1
LC08_L1TP_195028_20190809_20190820_01_T1
LC08_L1TP_195028_20190825_20190903_01_T1
